test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,1,20,1000,0.001,0.25,0.2,1,1,2,90,0,6,0.1,0.1,21.22,712.6,34425.0,134.08
1,1,1,20,1000,0.001,0.25,0.2,2,1,2,90,0,6,0.1,0.1,18.84,1355.4,34425.0,280.2
1,1,1,20,1000,0.001,0.25,0.2,3,2,2,90,0,6,0.1,0.1,21.12,140.32,34425.0,22.94
1,1,1,20,1000,0.001,0.25,0.2,4,2,2,90,0,6,0.1,0.1,20.78,196.64,34425.0,33.08
1,1,1,20,1000,0.001,0.25,0.2,5,2,2,90,0,6,0.1,0.1,18.94,222.4,34425.0,40.62
1,1,1,20,1000,0.001,0.25,0.2,5,3,2,90,0,6,0.1,0.1,20.82,49.16,34425.0,3.76
1,1,1,20,1000,0.001,0.25,0.2,6,2,2,90,0,6,0.1,0.1,18.64,270.52,34425.0,51.94
1,1,1,20,1000,0.001,0.25,0.2,6,3,2,90,0,6,0.1,0.1,20.84,54.76,34425.0,4.52
1,1,1,20,1000,0.0015,0.25,0.2,1,1,2,90,0,6,0.1,0.1,41.86,744.76,34425.0,135.88
1,1,1,20,1000,0.0015,0.25,0.2,2,1,2,90,0,6,0.1,0.1,36.16,1389.32,34425.0,282.64
1,1,1,20,1000,0.0015,0.25,0.2,3,2,2,90,0,6,0.1,0.1,35.18,167.04,34425.0,23.9
1,1,1,20,1000,0.0015,0.25,0.2,4,2,2,90,0,6,0.1,0.1,37.32,226.56,34425.0,34.72
1,1,1,20,1000,0.0015,0.25,0.2,5,2,2,90,0,6,0.1,0.1,30.12,288.72,34425.0,47.96
1,1,1,20,1000,0.0015,0.25,0.2,5,3,2,90,0,6,0.1,0.1,45.3,90.36,34425.0,5.3
1,1,1,20,1000,0.0015,0.25,0.2,6,2,2,90,0,6,0.1,0.1,31.84,349.64,34425.0,62.38
1,1,1,20,1000,0.0015,0.25,0.2,6,3,2,90,0,6,0.1,0.1,35.68,95.32,34425.0,6.82
1,1,1,20,1000,0.002,0.25,0.2,1,1,2,90,0,6,0.1,0.1,182.56,826.12,34425.0,129.96
1,1,1,20,1000,0.002,0.25,0.2,2,1,2,90,0,6,0.1,0.1,114.02,1604.72,34425.0,298.84
1,1,1,20,1000,0.002,0.25,0.2,3,2,2,90,0,6,0.1,0.1,156.98,351.16,34425.0,36.74
1,1,1,20,1000,0.002,0.25,0.2,4,2,2,90,0,6,0.1,0.1,142.1,502.6,34425.0,62.14
1,1,1,20,1000,0.002,0.25,0.2,5,2,2,90,0,6,0.1,0.1,108.58,568.28,34425.0,81.74
1,1,1,20,1000,0.002,0.25,0.2,5,3,2,90,0,6,0.1,0.1,173.24,286.56,34425.0,16.06
1,1,1,20,1000,0.002,0.25,0.2,6,2,2,90,0,6,0.1,0.1,93.86,628.8,34425.0,99.12
1,1,1,20,1000,0.002,0.25,0.2,6,3,2,90,0,6,0.1,0.1,157.02,291.72,34425.0,19.82
1,1,1,20,1000,0.0025,0.25,0.2,1,1,2,90,0,6,0.1,0.1,466.74,1048.88,34425.0,125.86
1,1,1,20,1000,0.0025,0.25,0.2,2,1,2,90,0,6,0.1,0.1,279.04,2052.12,34425.0,339.9
1,1,1,20,1000,0.0025,0.25,0.2,3,2,2,90,0,6,0.1,0.1,449.8,875.72,34425.0,78.28
1,1,1,20,1000,0.0025,0.25,0.2,4,2,2,90,0,6,0.1,0.1,366.92,1123.04,34425.0,127.94
1,1,1,20,1000,0.0025,0.25,0.2,5,2,2,90,0,6,0.1,0.1,304.48,1325.32,34425.0,179.2
1,1,1,20,1000,0.0025,0.25,0.2,5,3,2,90,0,6,0.1,0.1,458.78,785.48,34425.0,63.3
1,1,1,20,1000,0.0025,0.25,0.2,6,2,2,90,0,6,0.1,0.1,257.06,1515.64,34425.0,233.54
1,1,1,20,1000,0.0025,0.25,0.2,6,3,2,90,0,6,0.1,0.1,399.84,873.24,34425.0,83.5
