test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,90,0,6,0.0,0.0,696.73,766.64,68175.0,0.0
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,90,0,6,0.0,0.0,543.23,1973.52,68175.0,197.6
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,90,0,6,0.0,0.0,629.48,1315.36,68175.0,73.07
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,90,0,6,0.0,0.0,540.24,1684.76,68175.0,141.67
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,90,0,6,0.0,0.0,463.76,1978.12,68175.0,216.55
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,90,0,6,0.0,0.0,598.53,1501.18,68175.0,100.72
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,90,0,6,0.0,0.0,367.15,1994.94,68175.0,252.74
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,90,0,6,0.0,0.0,552.64,1769.26,68175.0,151.03
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,90,0,6,0.0,0.03,681.59,928.76,68175.0,36.72
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,90,0,6,0.0,0.03,522.2,2133.02,68175.0,251.73
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,90,0,6,0.0,0.03,620.85,1340.74,68175.0,85.14
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,90,0,6,0.0,0.03,537.95,1790.8,68175.0,166.84
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,90,0,6,0.0,0.03,446.5,2026.04,68175.0,236.11
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,90,0,6,0.0,0.03,595.55,1497.78,68175.0,107.55
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,90,0,6,0.0,0.03,368.22,2173.06,68175.0,293.88
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,90,0,6,0.0,0.03,549.49,1843.02,68175.0,169.56
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,90,0,6,0.0,0.06,677.45,1106.82,68175.0,73.22
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,90,0,6,0.0,0.06,514.71,2451.62,68175.0,322.69
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,90,0,6,0.0,0.06,618.71,1471.78,68175.0,105.42
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,90,0,6,0.0,0.06,541.27,1895.66,68175.0,189.8
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,90,0,6,0.0,0.06,449.54,2239.24,68175.0,279.33
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,90,0,6,0.0,0.06,600.69,1597.58,68175.0,124.83
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,90,0,6,0.0,0.06,361.22,2284.12,68175.0,327.33
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,90,0,6,0.0,0.06,533.98,1855.6,68175.0,179.3
