test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,170,0,6,0.0,0.0,594.8,1075.04,65025.0,0.0
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,170,0,6,0.0,0.0,276.2,1572.16,65025.0,191.88
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,170,0,6,0.0,0.0,409.58,1239.52,65025.0,58.8
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,170,0,6,0.0,0.0,280.84,1177.92,65025.0,89.76
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,170,0,6,0.0,0.0,128.76,637.36,65025.0,51.22
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,170,0,6,0.0,0.0,371.6,1169.36,65025.0,57.28
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,170,0,6,0.0,0.0,63.16,368.4,65025.0,32.14
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,170,0,6,0.0,0.0,279.5,1084.72,65025.0,64.26
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,170,0,6,0.0,0.03,585.72,1369.04,65025.0,68.68
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,170,0,6,0.0,0.03,245.02,1921.44,65025.0,310.66
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,170,0,6,0.0,0.03,439.36,1452.96,65025.0,91.48
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,170,0,6,0.0,0.03,231.04,1030.0,65025.0,89.88
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,170,0,6,0.0,0.03,124.22,716.48,65025.0,77.92
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,170,0,6,0.0,0.03,376.04,1223.12,65025.0,69.46
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,170,0,6,0.0,0.03,62.52,470.76,65025.0,60.74
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,170,0,6,0.0,0.03,272.78,1105.44,65025.0,78.48
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,170,0,6,0.0,0.06,573.76,1707.28,65025.0,143.34
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,170,0,6,0.0,0.06,207.84,2376.44,65025.0,438.3
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,170,0,6,0.0,0.06,436.96,1576.04,65025.0,120.4
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,170,0,6,0.0,0.06,237.2,1209.76,65025.0,130.38
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,170,0,6,0.0,0.06,142.1,1005.48,65025.0,136.94
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,170,0,6,0.0,0.06,364.86,1271.08,65025.0,83.28
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,170,0,6,0.0,0.06,57.8,551.28,65025.0,89.42
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,170,0,6,0.0,0.06,247.16,1020.2,65025.0,76.28
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,170,0,6,0.0,0.09,551.06,1971.24,65025.0,209.72
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,170,0,6,0.0,0.09,194.8,2818.2,65025.0,567.18
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,170,0,6,0.0,0.09,417.84,1601.8,65025.0,143.32
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,170,0,6,0.0,0.09,243.06,1347.48,65025.0,167.66
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,170,0,6,0.0,0.09,109.44,910.6,65025.0,147.08
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,170,0,6,0.0,0.09,385.64,1452.76,65025.0,113.16
