test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,3,10,1000,0.001,0.25,0.2,1,1,2,170,0,5,0.1,0.1,20.02,1251.12,2550.0,255.66
1,1,3,10,1000,0.001,0.25,0.2,2,1,2,170,0,5,0.1,0.1,17.4,2183.16,2550.0,532.32
1,1,3,10,1000,0.001,0.25,0.2,3,2,2,170,0,5,0.1,0.1,19.6,228.92,2550.0,41.82
1,1,3,10,1000,0.001,0.25,0.2,4,2,2,170,0,5,0.1,0.1,17.64,293.12,2550.0,59.84
1,1,3,10,1000,0.001,0.25,0.2,5,2,2,170,0,5,0.1,0.1,16.18,343.12,2550.0,76.96
1,1,3,10,1000,0.001,0.25,0.2,5,3,2,170,0,5,0.1,0.1,19.0,82.28,2550.0,8.08
1,1,3,10,1000,0.001,0.25,0.2,6,2,2,170,0,5,0.1,0.1,15.3,365.52,2550.0,92.26
1,1,3,10,1000,0.001,0.25,0.2,6,3,2,170,0,5,0.1,0.1,17.74,87.92,2550.0,8.82
1,1,3,10,1000,0.0015,0.25,0.2,1,1,2,170,0,5,0.1,0.1,43.14,1273.12,2550.0,253.22
1,1,3,10,1000,0.0015,0.25,0.2,2,1,2,170,0,5,0.1,0.1,27.06,2232.24,2550.0,535.96
1,1,3,10,1000,0.0015,0.25,0.2,3,2,2,170,0,5,0.1,0.1,34.68,272.4,2550.0,44.5
1,1,3,10,1000,0.0015,0.25,0.2,4,2,2,170,0,5,0.1,0.1,31.36,354.64,2550.0,66.18
1,1,3,10,1000,0.0015,0.25,0.2,5,2,2,170,0,5,0.1,0.1,26.82,396.08,2550.0,83.7
1,1,3,10,1000,0.0015,0.25,0.2,5,3,2,170,0,5,0.1,0.1,41.56,134.24,2550.0,10.7
1,1,3,10,1000,0.0015,0.25,0.2,6,2,2,170,0,5,0.1,0.1,20.26,404.16,2550.0,98.76
1,1,3,10,1000,0.0015,0.25,0.2,6,3,2,170,0,5,0.1,0.1,34.24,132.2,2550.0,10.88
1,1,3,10,1000,0.002,0.25,0.2,1,1,2,170,0,5,0.1,0.1,98.76,1344.56,2550.0,250.16
1,1,3,10,1000,0.002,0.25,0.2,2,1,2,170,0,5,0.1,0.1,43.36,2289.28,2550.0,538.72
1,1,3,10,1000,0.002,0.25,0.2,3,2,2,170,0,5,0.1,0.1,84.78,414.08,2550.0,55.3
1,1,3,10,1000,0.002,0.25,0.2,4,2,2,170,0,5,0.1,0.1,69.22,503.92,2550.0,80.22
1,1,3,10,1000,0.002,0.25,0.2,5,2,2,170,0,5,0.1,0.1,56.88,579.96,2550.0,107.94
1,1,3,10,1000,0.002,0.25,0.2,5,3,2,170,0,5,0.1,0.1,92.2,269.28,2550.0,18.84
1,1,3,10,1000,0.002,0.25,0.2,6,2,2,170,0,5,0.1,0.1,41.68,554.28,2550.0,121.94
1,1,3,10,1000,0.002,0.25,0.2,6,3,2,170,0,5,0.1,0.1,73.86,242.28,2550.0,18.98
1,1,3,10,1000,0.0025,0.25,0.2,1,1,2,170,0,5,0.1,0.1,354.84,1685.96,2550.0,244.48
1,1,3,10,1000,0.0025,0.25,0.2,2,1,2,170,0,5,0.1,0.1,121.02,2582.96,2550.0,567.8
1,1,3,10,1000,0.0025,0.25,0.2,3,2,2,170,0,5,0.1,0.1,316.24,1084.28,2550.0,112.12
1,1,3,10,1000,0.0025,0.25,0.2,4,2,2,170,0,5,0.1,0.1,199.6,1022.64,2550.0,140.68
1,1,3,10,1000,0.0025,0.25,0.2,5,2,2,170,0,5,0.1,0.1,128.04,955.16,2550.0,163.8
1,1,3,10,1000,0.0025,0.25,0.2,5,3,2,170,0,5,0.1,0.1,351.24,1003.6,2550.0,83.38
1,1,3,10,1000,0.0025,0.25,0.2,6,2,2,170,0,5,0.1,0.1,97.66,946.44,2550.0,192.36
1,1,3,10,1000,0.0025,0.25,0.2,6,3,2,170,0,5,0.1,0.1,247.22,806.08,2550.0,77.88
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,5,0.1,0.1,571.3,2021.04,2550.0,233.54
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,5,0.1,0.1,258.96,3149.64,2550.0,626.56
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,5,0.1,0.1,516.9,1807.12,2550.0,176.68
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,5,0.1,0.1,358.76,1762.4,2550.0,238.66
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,5,0.1,0.1,271.74,1862.12,2550.0,308.36
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,5,0.1,0.1,509.66,1611.92,2550.0,152.7
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,5,0.1,0.1,175.34,1532.44,2550.0,305.88
1,1,3,10,1000,0.003,0.25,0.2,6,3,2,170,0,5,0.1,0.1,468.6,1827.56,2550.0,214.16
1,1,3,10,1000,0.0035,0.25,0.2,1,1,2,170,0,5,0.1,0.1,708.32,2306.28,2550.0,229.9
1,1,3,10,1000,0.0035,0.25,0.2,2,1,2,170,0,5,0.1,0.1,445.0,4045.04,2550.0,719.76
1,1,3,10,1000,0.0035,0.25,0.2,3,2,2,170,0,5,0.1,0.1,653.62,2400.0,2550.0,232.48
1,1,3,10,1000,0.0035,0.25,0.2,4,2,2,170,0,5,0.1,0.1,549.98,2869.6,2550.0,383.8
1,1,3,10,1000,0.0035,0.25,0.2,5,2,2,170,0,5,0.1,0.1,435.02,3031.84,2550.0,506.74
1,1,3,10,1000,0.0035,0.25,0.2,5,3,2,170,0,5,0.1,0.1,654.6,2397.92,2550.0,247.76
1,1,3,10,1000,0.0035,0.25,0.2,6,2,2,170,0,5,0.1,0.1,301.84,2591.44,2550.0,516.12
1,1,3,10,1000,0.0035,0.25,0.2,6,3,2,170,0,5,0.1,0.1,595.0,2751.76,2550.0,352.08
1,1,3,10,1250,0.001,0.25,0.2,1,1,2,170,0,5,0.1,0.1,36.9,1299.88,2550.0,253.4
1,1,3,10,1250,0.001,0.25,0.2,2,1,2,170,0,5,0.1,0.1,28.92,2311.68,2550.0,522.46
1,1,3,10,1250,0.001,0.25,0.2,3,2,2,170,0,5,0.1,0.1,36.78,273.92,2550.0,44.42
1,1,3,10,1250,0.001,0.25,0.2,4,2,2,170,0,5,0.1,0.1,31.08,349.12,2550.0,62.08
1,1,3,10,1250,0.001,0.25,0.2,5,2,2,170,0,5,0.1,0.1,29.2,408.2,2550.0,82.84
1,1,3,10,1250,0.001,0.25,0.2,5,3,2,170,0,5,0.1,0.1,37.66,119.64,2550.0,9.72
1,1,3,10,1250,0.001,0.25,0.2,6,2,2,170,0,5,0.1,0.1,27.12,473.84,2550.0,102.6
1,1,3,10,1250,0.001,0.25,0.2,6,3,2,170,0,5,0.1,0.1,32.82,115.6,2550.0,9.66
1,1,3,10,1250,0.0015,0.25,0.2,1,1,2,170,0,5,0.1,0.1,107.8,1377.12,2550.0,247.5
1,1,3,10,1250,0.0015,0.25,0.2,2,1,2,170,0,5,0.1,0.1,63.88,2501.8,2550.0,544.38
1,1,3,10,1250,0.0015,0.25,0.2,3,2,2,170,0,5,0.1,0.1,115.22,473.72,2550.0,57.62
1,1,3,10,1250,0.0015,0.25,0.2,4,2,2,170,0,5,0.1,0.1,85.22,554.28,2550.0,81.88
1,1,3,10,1250,0.0015,0.25,0.2,5,2,2,170,0,5,0.1,0.1,66.8,594.12,2550.0,102.94
1,1,3,10,1250,0.0015,0.25,0.2,5,3,2,170,0,5,0.1,0.1,117.2,269.92,2550.0,16.22
1,1,3,10,1250,0.0015,0.25,0.2,6,2,2,170,0,5,0.1,0.1,43.76,581.44,2550.0,117.6
1,1,3,10,1250,0.0015,0.25,0.2,6,3,2,170,0,5,0.1,0.1,98.0,282.2,2550.0,19.04
1,1,3,10,1250,0.002,0.25,0.2,1,1,2,170,0,5,0.1,0.1,443.36,1736.92,2550.0,243.34
1,1,3,10,1250,0.002,0.25,0.2,2,1,2,170,0,5,0.1,0.1,217.12,3097.6,2550.0,606.26
1,1,3,10,1250,0.002,0.25,0.2,3,2,2,170,0,5,0.1,0.1,383.34,1066.8,2550.0,103.56
1,1,3,10,1250,0.002,0.25,0.2,4,2,2,170,0,5,0.1,0.1,304.56,1298.68,2550.0,164.84
1,1,3,10,1250,0.002,0.25,0.2,5,2,2,170,0,5,0.1,0.1,188.72,1214.56,2550.0,188.8
